"last_name, first_name","player_id","year","player_age"
"Merrifield, Whit",593160,2024,35
"Yepez, Juan",660766,2024,26
"Baldwin, Brooks",681460,2024,23
"Bleday, JJ",668709,2024,26
"Thomas, Alek",677950,2024,24
"Jiménez, Eloy",650391,2024,27
"Hernaiz, Darell",687231,2024,22
"Rizzo, Anthony",519203,2024,34
"Isbel, Kyle",664728,2024,27
"McCann, Kyle",668832,2024,26
"Anderson, Tim",641313,2024,31
"Wilson Jr., Jacob",805779,2024,22
"Garcia, Maikel",672580,2024,24
"Toro, Abraham",647351,2024,27
"Davis, J.D.",605204,2024,31
"Fermín, José",665877,2024,25
"Smith, Josh",669701,2024,26
"Grissom, Vaughn",687093,2024,23
"Rodgers, Brendan",663898,2024,27
"Tovar, Ezequiel",678662,2024,22
"Doyle, Brenton",686668,2024,26
"Herrera, Jose",645444,2024,27
"Chourio, Jackson",694192,2024,20
"Adell, Jo",666176,2024,25
"Correa, Carlos",621043,2024,29
"Barger, Addison",680718,2024,24
"Contreras, Willson",575929,2024,32
"Bellinger, Cody",641355,2024,28
"Short, Zack",670097,2024,29
"Haase, Eric",606992,2024,31
"Freeman, Tyler",671289,2024,25
"Frelick, Sal",686217,2024,24
"Seager, Corey",608369,2024,30
"Carlson, Dylan",666185,2024,25
"Vientos, Mark",668901,2024,24
"Cameron, Daz",663662,2024,27
"Guillorme, Luis",641645,2024,29
"Harris II, Michael",671739,2024,23
"Gurriel Jr., Yuli",493329,2024,40
"Vázquez, Christian",543877,2024,33
"Renfroe, Hunter",592669,2024,32
"Sanó, Miguel",593934,2024,31
"Alonso, Pete",624413,2024,29
"Varsho, Daulton",662139,2024,27
"Gurriel Jr., Lourdes",666971,2024,30
"Santana, Carlos",467793,2024,38
"Díaz, Elias",553869,2024,33
"Mitchell, Garrett",669003,2024,25
"Rortvedt, Ben",666163,2024,26
"Arias, Gabriel",672356,2024,24
"Fortes, Nick",663743,2024,27
"Millas, Drew",686452,2024,26
"Triolo, Jared",669707,2024,26
"Hicks, Aaron",543305,2024,34
"Reyes, Pablo",622569,2024,30
"Langeliers, Shea",669127,2024,26
"Adams, Riley",656180,2024,28
"Pages, Andy",681624,2024,23
"Westburg, Jordan",676059,2024,25
"Herrera, Iván",671056,2024,24
"Dunn, Oliver",686554,2024,26
"Smith, Pavin",656976,2024,28
"Rojas, Miguel",500743,2024,35
"Iglesias, Jose",578428,2024,34
"Bryant, Kris",592178,2024,32
"Manzardo, Kyle",700932,2024,23
"Schneider, Davis",676914,2024,25
"Shenton, Austin",668853,2024,26
"Monasterio, Andruw",655316,2024,27
"Turang, Brice",668930,2024,24
"Domínguez, Jasson",691176,2024,21
"Jankowski, Travis",608671,2024,33
"Haniger, Mitch",571745,2024,33
"Meneses, Joey",608841,2024,32
"Frazier, Adam",624428,2024,32
"Walker, Christian",572233,2024,33
"Muncy, Max",571970,2024,33
"Ramírez, Harold",623912,2024,29
"Castro, Willi",650489,2024,27
"Julks, Corey",667452,2024,28
"Young, Jacob",696285,2024,24
"Amaya, Jacob",676070,2024,25
"Grichuk, Randal",545341,2024,32
"Hedges, Austin",595978,2024,31
"Casas, Triston",671213,2024,24
"Hernández, Teoscar",606192,2024,31
"Cowser, Colton",681297,2024,24
"Rooker Jr., Brent",667670,2024,29
"Butler, Lawrence",671732,2024,23
"Azocar, José",640492,2024,28
"O'Hearn, Ryan",656811,2024,30
"Noel, Jhonkensy",678877,2024,22
"Greene, Riley",682985,2024,23
"Jimenez, Leo",677870,2024,23
"Betts, Mookie",605141,2024,31
"Grossman, Robbie",543257,2024,34
"Rosario, Eguy",666703,2024,24
"Buxton, Byron",621439,2024,30
"Steer, Spencer",668715,2024,26
"Taveras, Leody",665750,2024,25
"Serven, Brian",661531,2024,29
"Kirk, Alejandro",672386,2024,25
"Paris, Kyren",677347,2024,22
"Cruz, Oneil",665833,2024,25
"Allen, Nick",669397,2024,25
"Scott II, Victor",687363,2024,23
"Bae, Ji Hwan",678225,2024,24
"Cronenworth, Jake",630105,2024,30
"Ahmed, Nick",605113,2024,34
"Trejo, Alan",676701,2024,28
"Goldschmidt, Paul",502671,2024,36
"Pillar, Kevin",607680,2024,35
"Taylor, Tyrone",621438,2024,30
"Wilson, Weston",642215,2024,29
"Candelario, Jeimer",600869,2024,30
"Rocchio, Brayan",677587,2024,23
"Rutschman, Adley",668939,2024,26
"Meadows, Parker",678009,2024,24
"Stowers, Kyle",669065,2024,26
"Julien, Edouard",666397,2024,25
"Gordon, Nick",624503,2024,28
"Busch, Michael",683737,2024,26
"Realmuto, J.T.",592663,2024,33
"Brennan, Will",686823,2024,26
"Nuñez, Nasim",683083,2024,23
"Smith, Will",669257,2024,29
"Naylor, Josh",647304,2024,27
"Duran, Jarren",680776,2024,27
"Dahl, David",621311,2024,30
"Walls, Taylor",670764,2024,27
"Higashioka, Kyle",543309,2024,34
"Maile, Luke",571912,2024,33
"Schwarber, Kyle",656941,2024,31
"Estrada, Thairo",642731,2024,28
"López, Jack",605346,2024,31
"Burger, Jake",669394,2024,28
"Vargas, Miguel",678246,2024,24
"Lux, Gavin",666158,2024,26
"France, Ty",664034,2024,29
"O'Neill, Tyler",641933,2024,29
"Fletcher, Dominic",666150,2024,26
"Pagés, Pedro",686780,2024,25
"Luciano, Marco",682617,2024,22
"Yastrzemski, Mike",573262,2024,33
"Clase, Jonatan",682729,2024,22
"Ford, Mike",645801,2024,31
"Vaughn, Andrew",683734,2024,26
"Harris, Brett",695391,2024,26
"Refsnyder, Rob",608701,2024,33
"Madrigal, Nick",663611,2024,27
"Schmitt, Casey",669477,2024,25
"Lee, Korey",686676,2024,25
"Espinal, Santiago",669289,2024,29
"Altuve, Jose",514888,2024,34
"Marte, Noelvi",682622,2024,22
"Benson, Will",666181,2024,26
"Alexander, Blaze",677942,2024,25
"De La Cruz, Elly",682829,2024,22
"Andujar, Miguel",609280,2024,29
"Naylor, Bo",666310,2024,24
