Feature,Importance
Fpoints_G_percentile,0.4232102146676457
xwoba,0.08267367863309055
xba,0.06297776188307938
xslg,0.05141694455659746
oz_contact_percent,0.03677440491892613
xobp,0.03320952890290518
age,0.025769261646398946
sprint_speed,0.021796720209581844
avg_best_speed,0.015278817148611944
exit_velocity_avg,0.014472483923211769
k_percent,0.013890291265987125
groundballs_percent,0.011904980819423733
solidcontact_percent,0.011455360355025831
KpBB%,0.011251886725371392
out_zone_percent,0.009884062528550532
poorlyunder_percent,0.009513234906095265
poorlyweak_percent,0.009251819329261805
sweet_spot_percent,0.009216121185600968
oz_swing_miss_percent,0.008611980322640208
iz_contact_percent,0.007719883643815251
avg_hyper_speed,0.007547484218821327
barrel_batted_rate,0.0072632594667516375
woba,0.007085262531683152
flyballs_percent,0.006829970247872696
hard_hit_percent,0.0063514164283649255
z_swing_miss_percent,0.006025615237070693
flareburner_percent,0.0057229149981802285
pull_percent,0.005286589526993577
meatball_swing_percent,0.005192884289794289
opposite_percent,0.0049050698615431924
poorlyweak_percent_yearly_avg,0.004727388006267167
edge_percent,0.004407773487065301
xbacon,0.004319094478347548
straightaway_percent,0.004117859650936981
whiff_percent,0.003871548868613163
hard_hit_percent_yearly_avg,0.003450658901015065
avg_best_speed_yearly_avg,0.0033292627582410853
bb_percent,0.0032269271796097542
launch_angle_avg,0.0031391085424563713
linedrives_percent,0.002847994692245887
z_swing_percent,0.002609525498982982
xwobacon,0.0025770478070472535
meatball_swing_percent_yearly_avg,0.0024766973776005124
xiso,0.0021079643925026982
popups_percent,0.0017084404189521968
poorlytopped_percent_yearly_avg,0.0015687908243731037
swing_percent,0.0014583258228627652
oz_swing_percent,0.0013633026231753868
avg_hyper_speed_yearly_avg,0.0013224998288457167
linedrives_percent_yearly_avg,0.0011677814150369778
popups_percent_yearly_avg,0.0010709070999661877
poorlytopped_percent,0.0009367988074644836
woba_yearly_avg,0.0009239432674650511
xobp_yearly_avg,0.000829846689150099
barrel_batted_rate_yearly_avg,0.0007960208493991777
z_swing_percent_yearly_avg,0.0007436241199075002
xwobacon_yearly_avg,0.0006753086084487138
exit_velocity_avg_yearly_avg,0.0006676464413204904
launch_angle_avg_yearly_avg,0.000634546523237529
straightaway_percent_yearly_avg,0.0006080571114350522
sprint_speed_yearly_avg,0.0005652145039552108
xslg_yearly_avg,0.0005363885092018098
k_percent_yearly_avg,0.0004835946044224702
xiso_yearly_avg,0.000376809961160884
flyballs_percent_yearly_avg,0.0003705002211679051
bb_percent_yearly_avg,0.00034982409621370507
iz_contact_percent_yearly_avg,0.00028891355287376236
edge_percent_yearly_avg,0.00026587518094979925
solidcontact_percent_yearly_avg,0.0001871214130147553
Fpoints_G_percentile_yearly_avg,0.00016942432452018963
out_zone_percent_yearly_avg,0.00012075778506360811
xwoba_yearly_avg,5.1279606473653945e-05
xba_yearly_avg,3.416440037781887e-05
opposite_percent_yearly_avg,2.516239320061519e-05
KpBB%_yearly_avg,2.3728093501587453e-07
z_swing_miss_percent_yearly_avg,1.3569559996532306e-07
poorlyunder_percent_yearly_avg,0.0
oz_contact_percent_yearly_avg,0.0
whiff_percent_yearly_avg,0.0
swing_percent_yearly_avg,0.0
pull_percent_yearly_avg,0.0
oz_swing_miss_percent_yearly_avg,0.0
oz_swing_percent_yearly_avg,0.0
groundballs_percent_yearly_avg,0.0
xbacon_yearly_avg,0.0
age_yearly_avg,0.0
sweet_spot_percent_yearly_avg,0.0
flareburner_percent_yearly_avg,0.0
