Name,Team,Name,Season,Age,K/9,BB/9,HR/9,xFIP,xFIP-,SIERA,K-BB%,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Jacob deGrom","- - -","Jacob deGrom",2015,32,11.166847797148,1.9442934732222208,0.8290760848079658,2.801034711551522,66.93116074680381,2.9496701812994504,0.26127624,122.55225200175802,107.34159314381422,132.66827496342663,"Jacob deGrom",10954,594798
"Emmanuel Clase","- - -","Emmanuel Clase",2019,23,8.692963664282983,1.6695095779086524,0.37420042263469794,2.8098460638295153,66.74416894842001,2.710889528581788,0.2006579,135.18818794480924,99.21730115678223,131.34091204346706,"Emmanuel Clase",21032,661403
"Roberto Osuna","- - -","Roberto Osuna",2015,23,9.942859280126084,1.5714289092153293,0.8000001719641676,3.353937907349545,78.16816528744208,2.8421279476426706,0.23879381,107.48036363636363,117.9149090909091,129.4512727272727,"Roberto Osuna",13764,532077
"Brusdar Graterol","- - -","Brusdar Graterol",2019,23,6.986015476897014,1.9825179056059097,0.4720280727633118,3.5781941584391275,84.00170983871612,3.344453822840377,0.13965744,121.42599349008174,110.33420369589811,127.67482202768683,"Brusdar Graterol",20367,660813
"Félix Bautista","BAL","Félix Bautista",2022,28,14.068422606143436,3.4815793318233754,0.7815790336746353,2.542644254038072,61.964218499287654,2.2576453644144903,0.30408163,137.23121540419737,88.13977668185457,125.08669603518015,"Felix Bautista",20666,642585
"Liam Hendriks","- - -","Liam Hendriks",2015,30,11.783238244620836,2.067919294585776,0.8583815939790014,3.043336809440072,71.11224938380312,2.5843355978392903,0.26788596,116.32857679702656,108.52625582401859,124.03055415124325,"Liam Hendriks",3548,521230
"Jonathan Loáisiga","NYY","Jonathan Loáisiga",2018,25,8.481032737872777,2.9499244305644443,0.8194234529345679,3.70531542474266,87.06189105064175,3.662835460147206,0.14642082,117.78057724550852,106.58795311036668,122.99666052715634,"Jonathan Loaisiga",19753,642528
"Jeremiah Estrada","- - -","Jeremiah Estrada",2022,24,13.38362322037248,4.422414629340472,1.0474139911595854,3.265669904661523,79.3368349284534,2.973758542649951,0.23123123,112.2779904575053,110.9717525848401,122.62241733818068,"Jeremiah Estrada",22210,669093
"Tyler Rogers","SFG","Tyler Rogers",2019,31,6.698077598707984,1.8173078756184453,0.6230769859263241,3.880916692393975,92.42196738183003,3.6516275719486058,0.13082811,126.86634855279995,102.54725760680947,122.24345406898689,"Tyler Rogers",15541,643511
"Edwin Díaz","- - -","Edwin Díaz",2016,26,14.721856970039054,3.1986760758114547,0.9933776632954828,2.5269339112470144,59.267758212807394,2.212758819250193,0.31402274,124.17203290413204,96.51753232050282,121.95654072376901,"Edwin Diaz",14710,621242
"Yennier Cano","- - -","Yennier Cano",2022,29,9.01991388331311,3.1659300385138733,0.7765488773713274,3.26952468891291,78.67648486051627,3.270483850109201,0.15580286,111.21032278498778,110.90593536571265,121.67413961917168,"Yennier Cano",25911,666974
