"last_name, first_name","player_id","year","player_age"
"Thornton, Trent",663423,2024,30
"Hendricks, Kyle",543294,2024,34
"Suárez, Ranger",624133,2024,28
"Eovaldi, Nathan",543135,2024,34
"Clevinger, Mike",605182,2024,33
"Lambert, Peter",663567,2024,27
"Voth, Austin",608723,2024,32
"Herrin, Tim",682120,2024,27
"Hader, Josh",623352,2024,30
"Smith, Burch",572143,2024,34
"Kinley, Tyler",641755,2024,33
"Toussaint, Touki",657053,2024,28
"Anderson, Justin",605121,2024,31
"Cleavinger, Garrett",664076,2024,30
"Corbin, Patrick",571578,2024,34
"Rodríguez, Joely",570257,2024,32
"Banda, Anthony",607455,2024,30
"Sulser, Cole",642121,2024,34
"Hentges, Sam",656529,2024,27
"Hoffman, Jeff",656546,2024,31
"Young, Danny",664849,2024,30
"Warren, Will",701542,2024,25
"Moll, Sam",594580,2024,32
"Koenig, Jared",657649,2024,30
"Díaz, Alexis",664747,2024,27
"Rodriguez, Eduardo",593958,2024,31
"Kolek, Stephen",663568,2024,27
"Brebbia, John",605154,2024,34
"Tate, Dillon",622253,2024,30
"Singer, Brady",663903,2024,27
"Anderson, Grant",681982,2024,27
"Holmes, Clay",605280,2024,31
"Sands, Cole",663485,2024,26
"King, John",667463,2024,29
"Elder, Bryce",693821,2024,25
"Scott, Tanner",656945,2024,29
"Kerkering, Orion",689147,2024,23
"Quijada, José",650671,2024,28
"Beck, Tristan",663941,2024,28
"Birdsong, Hayden",806185,2024,22
"Fitts, Richard",690916,2024,24
"Vásquez, Randy",681190,2024,25
"Ramírez, Erasmo",541640,2024,34
"Adams, Austin",613534,2024,33
"Stratton, Hunter",676702,2024,27
"Emanuel, Kent",592288,2024,32
"Hernández, Elieser",622694,2024,29
"Kikuchi, Yusei",579328,2024,33
"Houck, Tanner",656557,2024,28
"Jiménez, Joe",641729,2024,29
"Manaea, Sean",640455,2024,32
"Roupp, Landen",694738,2024,25
"Hernández, Carlos",672578,2024,27
"Bibee, Tanner",676440,2024,25
"Woo, Bryan",693433,2024,24
"Smith, Drew",622098,2024,30
"Bradford, Cody",674003,2024,26
"Webb, Jacob",657097,2024,30
"Blach, Ty",621389,2024,33
"Suárez, Albert",544150,2024,34
"Bazardo, Eduard",660825,2024,28
"Englert, Mason",669438,2024,24
"Booser, Cam",592155,2024,32
"King, Michael",650633,2024,29
"Wesneski, Hayden",669713,2024,26
"Cronin, Declan",686539,2024,26
"Neris, Héctor",593576,2024,35
"Chivilli, Angel",683409,2024,21
"Gil, Luis",661563,2024,26
"Otañez, Michel",671305,2024,26
"Cannon, Jonathan",686563,2024,23
"Matz, Steven",571927,2024,33
"Mantiply, Joe",573009,2024,33
"Whitlock, Garrett",676477,2024,28
"Wood, Alex",622072,2024,33
"Montas, Frankie",593423,2024,31
