Feature,Importance
k_percent,0.1432814854488917
fastball_avg_speed,0.06004097531121072
whiff_percent,0.05120116599731251
KpBB%,0.04699895694679699
z_swing_miss_percent,0.0427742097005148
Fpoints_IP_two_prev_year,0.042523447765607916
f_strike_percent,0.04217946062132374
breaking_avg_break,0.03529061967466953
fastball_avg_spin,0.022523318391924146
offspeed_avg_speed,0.018226580646408468
offspeed_avg_spin,0.01092028039114851
Fpoints_IP_percentile,0.009940750197903947
breaking_avg_speed,0.008962189113109602
Fpoints_IP_percentile_yearly_avg,0.00809527238919113
n_fastball_formatted,0.006750789361073833
opposite_percent,0.005679964200449992
meatball_percent,0.003947591564060227
poorlyweak_percent,0.002173769029666537
in_zone_percent,0.0007509152907621276
k_percent_yearly_avg,0.0
xbacon_yearly_avg,0.0
barrel_batted_rate_yearly_avg,0.0
offspeed_avg_spin_yearly_avg,-0.0
sweet_spot_percent_yearly_avg,-0.0
launch_angle_avg_yearly_avg,-0.0
exit_velocity_avg_yearly_avg,0.0
offspeed_avg_break_x_yearly_avg,-0.0
offspeed_avg_break_z_yearly_avg,0.0
xwobacon_yearly_avg,0.0
bb_percent_yearly_avg,-0.0
xiso_yearly_avg,0.0
xobp_yearly_avg,0.0
offspeed_avg_break_z_induced_yearly_avg,0.0
offspeed_avg_break_yearly_avg,0.0
age_yearly_avg,0.0
xwoba_yearly_avg,0.0
woba_yearly_avg,-0.0
solidcontact_percent_yearly_avg,0.0
xba_yearly_avg,0.0
xslg_yearly_avg,0.0
n_breaking_formatted_yearly_avg,-0.0
flareburner_percent_yearly_avg,-0.0
poorlyunder_percent_yearly_avg,-0.0
Fpoints_IP_weighted_yearly_avg,0.0
Fpoints_IP_two_prev_year_yearly_avg,0.0
Fpoints_IP_prev_year_yearly_avg,0.0
fastball_avg_break_yearly_avg,0.0
fastball_avg_break_z_induced_yearly_avg,0.0
fastball_avg_break_z_yearly_avg,0.0
fastball_avg_break_x_yearly_avg,0.0
fastball_avg_spin_yearly_avg,-0.0
fastball_avg_speed_yearly_avg,0.0
n_fastball_formatted_yearly_avg,-0.0
linedrives_percent_yearly_avg,0.0
flyballs_percent_yearly_avg,-0.0
groundballs_percent_yearly_avg,0.0
f_strike_percent_yearly_avg,0.0
opposite_percent_yearly_avg,0.0
straightaway_percent_yearly_avg,-0.0
pull_percent_yearly_avg,-0.0
swing_percent_yearly_avg,0.0
whiff_percent_yearly_avg,-0.0
in_zone_percent_yearly_avg,-0.0
iz_contact_percent_yearly_avg,0.0
meatball_percent_yearly_avg,-0.0
out_zone_percent_yearly_avg,0.0
oz_swing_miss_percent_yearly_avg,-0.0
z_swing_miss_percent_yearly_avg,-0.0
hard_hit_percent_yearly_avg,0.0
poorlyweak_percent_yearly_avg,0.0
poorlytopped_percent_yearly_avg,-0.0
n_offspeed_formatted_yearly_avg,0.0
offspeed_avg_speed_yearly_avg,-0.0
KpBB%_yearly_avg,0.0
breaking_range_speed_yearly_avg,0.0
hard_hit_percent,-0.0
flareburner_percent,-0.0
breaking_avg_break_yearly_avg,0.0
launch_angle_avg,-0.0
xbacon,0.0
xwobacon,-0.0
xobp,-0.0
xwoba,-0.0
woba,0.0
xslg,-0.0
xba,-0.0
bb_percent,-0.0
age,0.0
offspeed_avg_break,0.0
offspeed_avg_break_z,-0.0
offspeed_avg_break_x,0.0
n_offspeed_formatted,0.0
breaking_range_speed,-0.0
breaking_avg_break_z_induced,0.0
breaking_avg_break_z,0.0
breaking_avg_break_x,-0.0
breaking_avg_spin,-0.0
poorlytopped_percent,0.0
solidcontact_percent,0.0
oz_swing_miss_percent,0.0
flyballs_percent,-0.0
breaking_avg_break_z_induced_yearly_avg,0.0
breaking_avg_break_z_yearly_avg,0.0
breaking_avg_break_x_yearly_avg,0.0
breaking_avg_spin_yearly_avg,-0.0
breaking_avg_speed_yearly_avg,0.0
Fpoints_IP_weighted,0.0
Fpoints_IP_prev_year,0.0
fastball_avg_break,0.0
fastball_avg_break_z,-0.0
fastball_avg_break_x,0.0
popups_percent,0.0
linedrives_percent,-0.0
groundballs_percent,0.0
edge_percent,0.0
iz_contact_percent,-0.0
swing_percent,0.0
straightaway_percent,-0.0
sweet_spot_percent,-0.0005972533237520209
fastball_avg_break_z_induced,-0.0018927041389734096
poorlyunder_percent,-0.004657300062932451
barrel_batted_rate,-0.005687176713483035
n_breaking_formatted,-0.006558725564908925
xiso,-0.006932181341855242
pull_percent,-0.010815686585578185
popups_percent_yearly_avg,-0.011038109707719465
offspeed_avg_break_z_induced,-0.01373364471307399
edge_percent_yearly_avg,-0.015376889016738483
out_zone_percent,-0.017832174838030217
exit_velocity_avg,-0.026141901057829358
