#,Name,Team,Bats,ESPN,YAHOO,G,PA,AB,R,HR,RBI,SB,H,1B,2B,3B,TB,SO,BB,HBP,SF,SH,CS,AVG,OBP,SLG,OPS,BABIP,RazzID
1,Shohei Ohtani,LAD,L,DH,DH,150,667,571,114.7,39.4,98.5,33.5,158.6,83.0,31.3,4.8,317.7,152.5,82.7,5.3,4.1,2.6,8.2,0.278,0.370,0.556,0.927,0.311,6602710
2,Jackson Chourio,MIL,R,OF,OF,152,664,605,88.0,25.9,78.2,26.5,162.6,104.4,28.8,3.5,276.0,134.0,48.1,4.7,4.1,2.7,6.6,0.268,0.324,0.456,0.780,0.304,694192
3,Luis Arraez,SD,L,1B/2B,1B/2B,151,663,611,88.3,8.7,60.2,8.2,186.6,137.4,38.3,2.2,255.4,41.2,39.5,6.0,3.9,2.8,2.3,0.306,0.350,0.418,0.768,0.315,650333
4,Francisco Lindor,NYM,S,SS,SS,150,662,588,93.8,24.9,77.7,22.7,150.0,91.5,31.6,2.0,260.3,125.8,60.5,9.8,4.1,2.4,5.1,0.255,0.333,0.443,0.775,0.283,12916
5,Juan Soto,NYM,L,OF,OF,151,661,531,109.0,31.8,90.1,8.9,147.8,83.7,30.0,2.3,277.7,109.9,126.1,4.0,4.5,1.8,3.1,0.278,0.421,0.523,0.944,0.294,665742
6,Gunnar Henderson,BAL,L,SS,SS,151,661,575,104.6,31.3,86.5,17.3,156.6,87.1,33.0,5.2,293.9,141.2,71.7,5.9,4.0,2.5,4.3,0.272,0.355,0.511,0.866,0.308,683002
7,Corbin Carroll,ARI,L,OF,OF,148,659,575,96.5,23.0,74.3,39.5,149.5,92.7,23.5,10.2,262.3,122.3,69.4,9.9,4.1,2.5,8.1,0.260,0.347,0.457,0.804,0.292,682998
8,Marcus Semien,TEX,R,2B,2B,150,656,589,91.3,21.9,69.6,11.3,149.0,97.0,27.2,2.8,247.6,99.6,56.8,4.7,3.8,2.9,2.4,0.253,0.321,0.421,0.742,0.270,12533
9,Ketel Marte,ARI,S,2B,2B,148,653,573,94.3,24.4,78.0,8.1,157.7,100.4,28.8,4.2,268.0,118.3,69.2,5.9,4.3,2.1,2.1,0.275,0.357,0.468,0.825,0.307,13613
10,Bobby Witt Jr.,KC,R,SS,SS,151,651,589,97.4,28.4,88.9,34.1,173.7,105.7,32.4,7.3,305.8,100.9,47.5,6.5,4.3,2.0,10.2,0.294,0.350,0.519,0.869,0.313,677951
